Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
44,Andrea Barberis,it ITA,MF,Crotone,22,1993,26,23,"2,059",22.9,0,3,3,0,0,0,3,0,0,0.13,0.13,0,0.13,Matches,2016-2017
45,Gabriel Barbosa,br BRA,"FW,MF",Inter,19,1996,9,0,120,1.3,1,0,1,1,0,0,3,0,0.75,0,0.75,0.75,0.75,Matches,2016-2017
46,Nicolò Barella,it ITA,MF,Cagliari,19,1997,28,22,"1,908",21.2,0,1,1,0,0,0,11,1,0,0.05,0.05,0,0.05,Matches,2016-2017
47,Antonio Barreca,it ITA,"DF,MF",Torino,21,1995,28,25,"2,362",26.2,0,2,2,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches,2016-2017
48,Édgar Barreto,py PAR,MF,Sampdoria,32,1984,32,32,"2,679",29.8,2,0,2,2,0,0,4,1,0.07,0,0.07,0.07,0.07,Matches,2016-2017
49,Andrea Barzagli,it ITA,DF,Juventus,35,1981,23,17,"1,532",17,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2016-2017
50,Daniele Baselli,it ITA,MF,Torino,24,1992,37,28,"2,288",25.4,6,5,11,6,0,0,6,0,0.24,0.2,0.43,0.24,0.43,Matches,2016-2017
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2016-2017
51,Dušan Basta,rs SRB,"DF,MF",Lazio,31,1984,27,24,"2,120",23.6,1,2,3,1,0,0,2,0,0.04,0.08,0.13,0.04,0.13,Matches,2016-2017
52,Samuel Bastien,cd COD,MF,Chievo,19,1996,12,8,799,8.9,1,0,1,1,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches,2016-2017
53,Alessandro Bastoni,it ITA,DF,Atalanta,17,1999,3,1,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
54,Bastos,ao ANG,DF,Lazio,25,1991,11,10,774,8.6,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches,2016-2017
55,Andrea Beghetto,it ITA,"DF,MF",Genoa,21,1994,3,1,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
56,Giuseppe Bellusci,it ITA,DF,Empoli,26,1989,33,33,"2,970",33,1,0,1,1,0,0,15,0,0.03,0,0.03,0.03,0.03,Matches,2016-2017
