Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
126,Daniel Congré,fr FRA,DF,Montpellier,29,1985,30,26,"2,364",26.3,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,2014-2015
127,Bryan Constant,fr FRA,MF,Nice,20,1994,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
128,Antoine Conte,gn GUI,DF,Reims,20,1994,29,29,"2,535",28.2,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches,2014-2015
129,Diego Contento,de GER,DF,Bordeaux,24,1990,25,23,"1,983",22,0,3,3,0,0,0,8,0,0,0.14,0.14,0,0.14,Matches,2014-2015
130,Sébastien Corchia,fr FRA,"DF,MF",Lille,23,1990,31,29,"2,505",27.8,1,1,2,1,0,0,5,2,0.04,0.04,0.07,0.04,0.07,Matches,2014-2015
131,Benjamin Corgnet,fr FRA,MF,Saint-Étienne,27,1987,24,15,"1,185",13.2,0,3,3,0,0,0,3,0,0,0.23,0.23,0,0.23,Matches,2014-2015
132,Maxwel Cornet,ci CIV,"DF,FW",Lyon,17,1996,4,1,154,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
133,Benoît Costil,fr FRA,GK,Rennes,27,1987,38,38,"3,420",38,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
134,Adamo Coulibaly,fr FRA,FW,Lens,32,1981,33,28,"2,458",27.3,4,1,5,3,1,2,4,0,0.15,0.04,0.18,0.11,0.15,Matches,2014-2015
135,Gaëtan Courtet,fr FRA,FW,Reims,25,1989,17,3,551,6.1,2,0,2,2,0,0,1,0,0.33,0,0.33,0.33,0.33,Matches,2014-2015
136,Mathieu Coutadeur,fr FRA,MF,Lorient,28,1986,11,8,711,7.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2014-2015
137,Enzo Crivelli,fr FRA,FW,Bordeaux,19,1995,11,1,246,2.7,1,1,2,1,0,0,1,0,0.37,0.37,0.73,0.37,0.73,Matches,2014-2015
138,Darío Cvitanich,ar ARG,FW,Nice,30,1984,9,5,484,5.4,3,0,3,3,0,0,0,0,0.56,0,0.56,0.56,0.56,Matches,2014-2015
139,Wylan Cyprien,fr FRA,MF,Lens,19,1995,33,27,"2,186",24.3,2,2,4,2,0,0,9,0,0.08,0.08,0.16,0.08,0.16,Matches,2014-2015
140,Sessi D'Almeida,bj BEN,MF,Bordeaux,18,1995,2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
141,Damien Da Silva,fr FRA,"DF,MF",Caen,26,1988,35,35,"3,077",34.2,1,1,2,1,0,0,5,1,0.03,0.03,0.06,0.03,0.06,Matches,2014-2015
142,Bryan Dabo,bf BFA,MF,Montpellier,22,1992,21,20,"1,819",20.2,2,2,4,2,0,0,5,0,0.1,0.1,0.2,0.1,0.2,Matches,2014-2015
143,Mouhamadou Dabo,fr FRA,DF,Lyon,27,1986,13,13,"1,016",11.3,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches,2014-2015
144,Gaël Danic,fr FRA,MF,Bastia,32,1981,15,14,"1,084",12,1,4,5,1,0,0,2,0,0.08,0.33,0.42,0.08,0.42,Matches,2014-2015
145,Gaël Danic,fr FRA,MF,Lyon,32,1981,1,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
146,Romain Danzé,fr FRA,"DF,MF",Rennes,28,1986,31,29,"2,662",29.6,0,2,2,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches,2014-2015
147,Lucas Deaux,fr FRA,MF,Nantes,25,1988,34,23,"2,104",23.4,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches,2014-2015
148,Jonathan Delaplace,fr FRA,"DF,MF",Lille,28,1986,21,12,"1,194",13.3,2,0,2,2,0,0,2,0,0.15,0,0.15,0.15,0.15,Matches,2014-2015
149,Joris Delle,fr FRA,GK,Nice,24,1990,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
150,Mathieu Deplagne,fr FRA,DF,Montpellier,22,1991,31,23,"2,080",23.1,0,1,1,0,0,0,7,0,0,0.04,0.04,0,0.04,Matches,2014-2015
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2014-2015
151,Gregory van der Wiel,nl NED,DF,Paris S-G,26,1988,25,22,"2,004",22.3,1,3,4,1,0,0,3,1,0.04,0.13,0.18,0.04,0.18,Matches,2014-2015
152,Antoine Devaux,fr FRA,"DF,MF",Reims,29,1985,28,27,"2,296",25.5,1,0,1,1,0,0,4,0,0.04,0,0.04,0.04,0.04,Matches,2014-2015
153,Jean Deza,pe PER,"FW,MF",Montpellier,21,1993,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
154,Cheick Diabaté,ml MLI,FW,Bordeaux,26,1988,15,13,"1,076",12,8,2,10,6,2,2,2,1,0.67,0.17,0.84,0.5,0.67,Matches,2014-2015
155,Abdoulay Diaby,ml MLI,"FW,MF",Lille,23,1991,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
