S,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
161,Felipe,br BRA,DF,Atlético Madrid,31,1989,31,23,"2,057",22.9,0,0,0,0,0,0,8,0,1.5,1.5,0.3,1.8,5,36,3,0,0,0,0,0,0.07,0.01,0.08,0.07,0.08,Matches,2020-2021
162,João Félix,pt POR,"FW,MF",Atlético Madrid,20,1999,31,14,"1,572",17.5,7,5,12,6,1,2,6,0,5.5,3.9,4.3,8.1,49,73,94,0.4,0.29,0.69,0.34,0.63,0.31,0.24,0.56,0.22,0.47,Matches,2020-2021
163,Aitor Fernández,es ESP,GK,Levante,29,1991,29,29,"2,610",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
164,Álex Fernández,es ESP,MF,Cádiz,27,1992,25,21,"1,946",21.6,4,1,5,2,2,2,1,0,3.3,1.8,1.5,3.2,26,104,43,0.18,0.05,0.23,0.09,0.14,0.15,0.07,0.22,0.08,0.15,Matches,2020-2021
165,Álvaro Fernández,es ESP,GK,Huesca,22,1998,22,22,"1,980",22,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
166,Andrés Fernández,es ESP,GK,Huesca,33,1986,16,16,"1,440",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
167,Augusto Fernández,ar ARG,MF,Cádiz,34,1986,12,4,369,4.1,0,0,0,0,0,0,1,0,0,0,0,0,2,17,3,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
168,Carlos Fernández,es ESP,FW,Sevilla,24,1996,5,2,143,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,3,3,10,0,0,0,0,0,0.12,0.43,0.55,0.12,0.55,Matches,2020-2021
169,Carlos Fernández,es ESP,"FW,MF",Real Sociedad,24,1996,11,4,390,4.3,1,2,3,1,0,0,5,0,1.1,1.1,0.7,1.8,3,10,33,0.23,0.46,0.69,0.23,0.69,0.26,0.16,0.41,0.26,0.41,Matches,2020-2021
170,Joaquín Fernández,es ESP,DF,Valladolid,24,1996,25,24,"2,073",23,1,0,1,1,0,0,8,0,1.4,1.4,0.5,1.9,0,42,2,0.04,0,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,Matches,2020-2021
